Name,Count
Need for Speed: Most Wanted,12
Ratatouille,9
FIFA 14,9
LEGO Marvel Super Heroes,9
Madden NFL 07,9
Cars,8
FIFA Soccer 13,8
LEGO The Hobbit,8
Monopoly,8
LEGO Jurassic World,8
Lego Batman 3: Beyond Gotham,8
Terraria,8
Angry Birds Star Wars,8
FIFA 15,8
Madden NFL 08,8
The LEGO Movie Videogame,8
LEGO Harry Potter: Years 5-7,8
LEGO Star Wars II: The Original Trilogy,8
FIFA Soccer 11,7
Skylanders: Trap Team,7
Skylanders: SuperChargers,7
FIFA Soccer 10,7
NBA Jam,7
Wall-E,7
LEGO Indiana Jones: The Original Adventures,7
Tomb Raider: Legend,7
LEGO Batman 2: DC Super Heroes,7
Lego Star Wars: The Force Awakens,7
Harry Potter and the Order of the Phoenix,7
LEGO Star Wars III: The Clone Wars,7
Harry Potter and the Half-Blood Prince,7
The Amazing Spider-Man 2 (2014),7
Need for Speed Carbon,7
LEGO Pirates of the Caribbean: The Video Game,7
FIFA 12,7
Star Wars The Clone Wars: Republic Heroes,7
Spider-Man 3,7
LEGO Marvel's Avengers,7
Madden NFL 06,7
Major League Baseball 2K11,7
Need For Speed: Undercover,7
Harry Potter and the Sorcerer's Stone,7
Surf's Up,7
LEGO The Lord of the Rings,7
Skylanders SWAP Force,7
The Sims 2,7
LEGO Batman: The Videogame,7
FIFA Soccer 08,7
Pro Evolution Soccer 2012,7
Need for Speed: ProStreet,7
Brunswick Pro Bowling,6
Open Season,6
MX vs. ATV Untamed,6
Ice Age: Dawn of the Dinosaurs,6
Up,6
Iron Man,6
Disney Infinity,6
Kung Fu Panda,6
Harry Potter and the Goblet of Fire,6
Madden NFL 2002,6
Michael Jackson: The Experience,6
pro evolution soccer 2011,6
LEGO Harry Potter: Years 1-4,6
Prince of Persia: The Forgotten Sands,6
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",6
Juiced 2: Hot Import Nights,6
Marvel: Ultimate Alliance,6
Tiger Woods PGA Tour 07,6
Pirates of the Caribbean: At World's End,6
Madden NFL 09,6
Madagascar: Escape 2 Africa,6
FIFA Soccer 09,6
Harry Potter and the Chamber of Secrets,6
The BIGS 2,6
The Walking Dead: Season One,6
Madden NFL 13,6
The Amazing Spider-Man (Console Version),6
Ben 10 Ultimate Alien: Cosmic Destruction,6
Tony Hawk's Pro Skater 3,6
Warriors Orochi 3,6
Ice Age 2: The Meltdown,6
Major League Baseball 2K10,6
G.I. Joe: The Rise of Cobra,6
NBA 2K11,6
The Sims 2: Pets,6
Spider-Man 2,6
Spider-Man: Friend or Foe,6
Pro Evolution Soccer 2008,6
WWE All Stars,6
Peter Jackson's King Kong: The Official Game of the Movie,6
Major League Baseball 2K12,6
X-Men: The Official Game,6
Darksiders II,6
Just Dance 2014,6
Spider-Man: Web of Shadows,6
Monsters vs. Aliens,6
Just Dance 2015,6
Sonic & All-Stars Racing Transformed,6
Assassin's Creed IV: Black Flag,6
Pro Evolution Soccer 2010,6
The Incredibles: Rise of the Underminer,6
WWE SmackDown vs Raw 2008,6
G-Force,6
FIFA Soccer 07,6
The Incredible Hulk,6
FIFA World Cup Germany 2006,6
Watch Dogs,6
Rugby World Cup 2015,6
Teenage Mutant Ninja Turtles,6
You Don't Know Jack,6
Star Wars: The Force Unleashed,6
Turbo: Super Stunt Squad,6
Rapala Pro Bass Fishing 2010,6
The Golden Compass,6
Rayman Legends,6
Disney Infinity 2.0: Marvel Super Heroes,6
Tomb Raider: Underworld,6
Just Dance 2016,6
Rayman Origins,6
Tiger Woods PGA Tour 08,6
Marvel: Ultimate Alliance 2,6
LEGO Indiana Jones 2: The Adventure Continues,6
Cars 2,6
The Sims 3,6
Need for Speed Underground 2,6
Call of Duty: Ghosts,6
007: Quantum of Solace,6
Avatar: The Game,6
WWE SmackDown vs. Raw 2009,6
Minecraft,6
Adventure Time: Finn & Jake Investigations,6
The Simpsons Game,6
DiRT 2,6
WWE SmackDown vs. Raw 2010,6
Ben 10 Galactic Racing,6
Pro Evolution Soccer 2013,6
Cars: Race-O-Rama,6
Ghostbusters: The Video Game,6
Resident Evil: Revelations 2,5
Far Cry 4,5
The Wolf Among Us,5
Harry Potter and the Prisoner of Azkaban,5
MotoGP,5
FIFA Street 2,5
The Evil Within,5
Over the Hedge,5
Bolt,5
Fantastic Four: Rise of the Silver Surfer,5
Farming Simulator 2015,5
Transformer: Rise of the Dark Spark,5
Pac-Man World 3,5
NBA 2K16,5
